CFSAUID,PRUID_fire,PRNAME_fire,LANDAREA_fire,num_wildfires,total_area_burned,avg_area_burned,years_with_fires,fires_per_100km2,burned_percent,PRUID_wind,PRNAME_wind,LANDAREA_wind,num_wind_events,num_tornadoes,avg_max_wind,max_max_wind,avg_path_length_km,avg_path_width_m,wind_events_per_100km2,risk_cluster,risk_label
S0A,47,Saskatchewan,33998.1118,4,1707.2012857,426.800321425,4,0.0117653592750406,5.021459120267967,47,Saskatchewan,33998.1118,32,15,127.77777777777776,150.0,3.658,180.0,0.0941228742003254,2,Medium
S0E,47,Saskatchewan,27324.2923,31,36422.27627016,1174.9121377470967,12,0.1134521606621811,133.29632061563038,47,Saskatchewan,27324.2923,8,2,146.66666666666666,190.0,20.6,410.0,0.029277976945079,0,Low
S0H,47,Saskatchewan,30936.1752,3,1438.284,479.42800000000005,1,0.0096973849566251,4.649197874984882,47,Saskatchewan,30936.1752,28,14,127.14285714285714,190.0,14.61,237.5,0.0905089262618347,2,Medium
S0J,47,Saskatchewan,205672.1322,983,7555702.256139527,7686.370555584463,21,0.4779451593588332,3673.663600079859,47,Saskatchewan,205672.1322,22,8,154.64285714285714,190.0,8.808333333333334,483.3333333333333,0.0106966363233919,1,High
S0K,47,Saskatchewan,31703.027,5,8557.6605497,1711.53210994,3,0.0157713646712662,26.9931970524455,47,Saskatchewan,31703.027,44,20,116.36363636363636,190.0,5.072857142857143,194.28571428571428,0.138788009107143,2,Medium
S0M,47,Saskatchewan,107616.9007,328,4174625.45671555,12727.516636327897,20,0.3047848412902677,3879.15413802244,47,Saskatchewan,107616.9007,26,15,173.1818181818182,215.0,10.014,630.0,0.0241597740047163,1,High
S0N,47,Saskatchewan,36943.2487,5,8851.273162540001,1770.2546325080002,4,0.0135342726369378,23.95910883316551,47,Saskatchewan,36943.2487,14,6,150.0,180.0,10.7,600.0,0.037895963383426,0,Low
S6V,47,Saskatchewan,2864.3862,9,53144.06493257,5904.896103618888,6,0.3142034408628278,1855.33867369456,47,Saskatchewan,2864.3862,2,0,,,,,0.0698229868584061,0,Low
S9X,47,Saskatchewan,3886.102,4,16684.172,4171.043,3,0.1029309060853266,429.3292353108591,47,Saskatchewan,3886.102,1,0,,,,,0.0257327265213316,0,Low
T0A,48,Alberta,36758.8253,255,375124.205,1471.0753137254903,21,0.6937109603445354,1020.5010686236484,48,Alberta,36758.8253,20,13,161.0,215.0,9.875833333333333,523.3333333333334,0.0544087027721204,2,Medium
T0B,48,Alberta,30126.9335,23,9400.317,408.70943478260864,11,0.0763436477861246,31.202369135909564,48,Alberta,30126.9335,18,5,126.66666666666669,155.0,1.1366666666666667,76.66666666666667,0.0597472026152279,0,Low
